state,perrep,perdem,perind,permultiracial,perwhite,perblack,perindig,perasian,perpacific,perother,perlatinx,popcit18plus,percit18plusmale,percit18plusfem,medage,perhsplus,perugplus,unemp,medhhincome,per2034,per3554,per5564,per65plus,singledadfam,singlemomfam,vets,bornstateres,forborncit,noneng,spanish,nonengsp,nonsplang,splang,forlang,meanhhincome,perfoodstamp,percapitainc,medearngap,perhealthins,perbelowpov,minblack,minlatinx,minother,femdomcit18plus,femdom,gunbckcheck,evangelical_pop,vepvotingrate,wideo,citi6013,w_gayrights_employment_discrimit,giexorder,gilaw,giexorder_law,soexorder,solaw,soexorder_law,guncontrol_assaultweapon_ban,guncontrol_opencarry,labor_minwage_abovefed,regulation_physician_suicide,earned_income_taxcredit,x_tax_rate_rich,x_top_corporateincometaxrate,genderrights_era_ratification,genderrights_state_eras,genrights_genddiscrim_post1964,statemin,employ_pop,pctwomenearn,death_penalty,w_ec_access,abortion_consent_1992_2014,w_abortion_parental_notice_1983_,abortion_medicaid
Ohio,42,40,18,2.7,84.4,13.9,0.9,2.5,0.1,1.1,3.5,8765154,48.2,51.8,39.3,89.7,26.8,6.4,51075,19.5,25.7,13.7,15.8,4.6,12.8,8.5,75.2,50.7,6.9,2.3,4.6,1,0,1,68880,14.3,28001,12686,93.5,14.8,1,0,0,1,1,402640,13.4,0.65,-0.16800189,49.25758,0,0,0,0,1,0,1,0,1,1,0,1,5.93,0,1,0,,7.95,0.78482825,83.63,0,1,1,2,0
Oklahoma,45,40,15,7.9,79.8,9.2,13.3,2.6,0.2,3.2,10.1,2807548,48.7,51.3,36.3,87.3,24.6,5.5,48568,20.9,24.6,12.4,14.7,5.3,12.2,9.6,60.6,33.3,10.1,7.2,2.9,0,1,2,66260,13,25762,11733,86.1,16.1,0,0,1,1,1,234526,42,0.49,-0.206425965,23.94061,0,0,0,0,0,0,0,0,1,0,0,1,5.21,6,0,0,1,7.25,0.763801,78.56,0,1,1,2,0
Oregon,32,47,21,4.5,89.5,2.7,3.2,5.6,0.7,3.1,12.7,2956232,48.9,51.1,39.1,90,32.2,6.8,54148,20.3,26,13.6,16.3,4.4,10.3,9.3,45.9,42.3,15.1,9.2,5.9,0,1,2,73144,18.6,29117,9227,93,15.4,0,1,0,1,1,175673,15.5,0.63,-0.13825722,55.12305,2,0,1,1,1,1,1,0,1,1,1,1,9.69,7.6,1,0,1,9.1,0.77162125,79.93,0,1,0,0,1
Pennsylvania,39,46,15,2.4,83.2,12.5,0.7,3.8,0.1,2.3,6.8,9752322,48.2,51.8,40.7,89.7,29.7,6.3,55702,19.5,25.6,14,17,4.6,12.3,7.9,72.9,52.6,10.9,4.6,6.3,1,0,1,75981,13.3,30384,10762,93.6,13.2,1,0,0,1,1,655643,8.8999996,0.59,-0.210354537,52.21729,0,1,0,1,1,0,1,0,1,0,0,0,3.07,9.99,1,1,1,7.25,0.78004225,81.63,0,1,1,2,0
Rhode Island,30,48,22,3.4,83,8,1.4,4.2,0.1,6.9,14.4,784997,47.2,52.8,39.7,87.7,32.7,6.2,58073,21,25.8,13.6,16.2,4.5,14,7.2,56.6,54.4,22.2,11.9,10.3,0,1,2,78295,16.2,31888,7318,94.3,13.9,0,1,0,1,1,15805,2.9000001,0.58,0.10750103,78.0734,2,0,1,1,1,1,1,0,0,1,0,1,5.99,9,1,1,1,8,0.78400825,81.35,1,1,0,2,0
South Carolina,43,39,18,2.1,69,28.7,0.9,1.8,0.1,1.7,5.4,3677799,47.7,52.3,39,86.3,26.8,7.3,47238,20,25.6,13.2,16.2,4.4,14.6,9.8,57.7,39.5,6.8,4.3,2.5,0,1,2,64352,14.4,25627,8056,89.1,16.6,1,0,0,1,1,211513,31.299999,0.57,-0.311935842,41.78074,0,0,0,0,0,0,0,0,1,0,0,0,7,5,0,0,0,7.25,0.7609195,78.84,0,1,1,2,0
South Dakota,53,37,10,3,87.2,2.2,10.2,1.9,0.2,1.3,3.5,634140,49.7,50.3,36.9,91.1,27.5,4,53017,19.9,23.7,13.2,15.7,4.2,9.5,9,64.9,37.4,6.6,2.1,4.5,1,0,1,68723,10.6,27624,9337,89.8,13.7,0,0,1,1,0,53651,15.7,0.59,-0.050988797,44.17757,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.25,0.84901125,82.47,0,0,1,1,0
Tennessee,48,36,15,2.1,79.7,17.9,0.9,2.1,0.1,1.6,5.1,4919574,47.8,52.2,38.7,86.1,25.7,6.2,47275,20,26.2,13,15.4,4.7,13.6,8.6,60.1,36.4,6.9,3.9,3,0,1,2,66009,16,26216,8098,89.7,16.7,1,0,0,1,1,332328,38.299999,0.52,-0.239665896,37.73753,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5,0,0,1,7.25,0.732505,84.97,0,0,0,2,0
Texas,39,40,21,2.5,77.1,12.9,1.2,5.2,0.2,6,38.9,17523904,48.7,51.3,34.4,82.4,28.4,5.5,55653,21.8,26.3,11.1,11.7,5.2,14,7.3,59.7,35.8,35.4,29.5,5.9,0,1,2,78862,12.5,28210,9857,82.9,15.9,0,1,0,1,1,933825,26.9,0.50,-0.281300575,39.77549,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,7.25,0.77073975,84.79,0,1,1,2,0
Utah,54,30,16,2.9,89.8,1.7,2,3.3,1.4,5,13.7,1945001,49.9,50.1,30.6,91.5,31.8,4,62912,23.1,23.7,9.4,10.2,4.3,9.5,5.7,62.3,39.1,14.8,10.2,4.6,0,1,2,79860,7.6,25816,14681,89.5,11.3,0,1,0,1,0,154184,71.400002,0.55,-0.339003474,20.97919,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,1,1,7.25,0.778417,72.61,0,1,1,2,0
Vermont,29,57,14,1.8,96.5,1.7,1.5,1.8,0.1,0.4,1.7,494717,48.8,51.2,43.1,91.7,36.9,3.8,56990,18.7,25.6,15.6,17.5,3.4,7.9,8,49.9,54.7,6.1,1.1,5,1,0,1,74502,11.8,31216,7787,96.2,10.2,0,0,1,1,1,283509,20.299999,0.66,-0.116162002,86.71375,0,0,0,0,0,0,0,0,1,0,0,1,5.65,6,0,1,1,7.25,0.7958805,85.96,0,1,1,2,0
Virginia,43,39,18,3.5,71.3,20.9,1,7.6,0.2,2.9,9,6062304,48.6,51.4,37.8,88.9,37,5.5,66262,21.1,27.1,12.6,14.1,4.4,11.9,10.8,49.5,51,15.9,7,8.9,1,0,1,90556,9.2,34780,12050,90.9,11.2,1,0,0,1,1,23319,4.3000002,0.60,-0.05424862,46.44911,2,0,1,1,0,1,1,0,1,1,1,1,8.09,8.5,1,0,1,8.73,0.82043575,80.54,1,2,0,0,1
Washington,33,44,23,5.5,81.7,5.3,2.9,10.2,1.2,4.7,12.4,5081800,49.5,50.5,37.5,90.8,34.2,6,64129,21.4,26.1,12.9,14.5,4.5,10,9.7,47.3,46.8,19.3,8.7,10.6,1,0,1,85653,13.4,33486,11793,93.4,12.2,0,1,0,1,0,351259,16.200001,0.64,0.024762932,52.97403,2,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,9.32,0.77150625,74.52,0,2,0,0,1
West Virginia,43,41,16,1.6,94.9,4.8,0.6,1,0.1,0.3,1.4,1451557,48.9,51.1,42.2,86,19.6,7.3,42019,18.1,25.9,14.6,18.2,4.9,11.5,9.2,69.7,52.3,2.6,1.1,1.5,1,0,1,56568,16.8,23539,13258,94,17.9,1,0,0,1,1,327883,14.6,0.73,-0.381690949,48.20326,1,0,0,0,0,1,1,0,1,0,0,1,6.75,7.9,1,0,1,7.25,0.83294975,74.65,1,1,1,2,0
